image,run,width,height,pixels,read_us,s1_us,s2_us,s3_us,write_us
1,1,450,180,81000,18058,14079,8894,6663,15740
1,2,450,180,81000,11955,12593,8438,6645,14175
1,3,450,180,81000,16213,10995,7224,8296,15125
1,4,450,180,81000,21332,10555,7921,4382,14015
1,5,450,180,81000,18780,7561,6861,6433,22147
2,1,786,393,308898,88485,44176,33563,28238,55090
2,2,786,393,308898,68328,34692,34753,25734,55014
2,3,786,393,308898,66688,45006,31835,20905,55038
2,4,786,393,308898,70552,37463,30784,27988,62375
2,5,786,393,308898,85761,49283,41284,35156,64530
3,1,1024,575,588800,169781,66827,62723,51247,94367
3,2,1024,575,588800,138421,74357,48963,50928,94557
3,3,1024,575,588800,130748,73695,48933,50482,109965
3,4,1024,575,588800,133037,71837,50941,46270,103746
3,5,1024,575,588800,138892,75161,56558,49962,102851
4,1,1280,910,1164800,286506,147107,109297,94337,202354
4,2,1280,910,1164800,286485,163075,117093,93844,276151
4,3,1280,910,1164800,285269,160595,100483,88491,200926
4,4,1280,910,1164800,263406,147896,116768,89479,202965
4,5,1280,910,1164800,269750,145850,104578,99858,204928
5,1,1500,1000,1500000,339152,173639,141584,130240,255777
5,2,1500,1000,1500000,337985,229104,178720,135791,277169
5,3,1500,1000,1500000,349192,185275,134755,125082,257363
5,4,1500,1000,1500000,363906,173782,135906,113417,242976
5,5,1500,1000,1500000,314244,171695,133135,114408,244847
6,1,2271,1500,3406500,798439,429493,306549,307610,596828
6,2,2271,1500,3406500,769516,386005,282326,245420,556569
6,3,2271,1500,3406500,812753,439412,305896,268781,575860
6,4,2271,1500,3406500,733231,389268,301200,267775,577416
6,5,2271,1500,3406500,733208,391619,281768,257964,561180
7,1,3750,2470,9262500,1754103,711211,423987,495826,1572006
7,2,3750,2470,9262500,3388238,1066606,641004,642991,1844563
7,3,3750,2470,9262500,4351799,2479051,1884865,1893225,4329944
7,4,3750,2470,9262500,4307103,2457083,1730365,1605009,3246770
7,5,3750,2470,9262500,4247411,2331733,1743493,1603148,3295940
