pid,arrival_time,total_cpu_demand,completion_time,turnaround_time
1,2,213,745,743
2,4,46,15266,15262
3,8,204,1530,1522
4,12,23,12887,12875
5,17,23,12369,12352
6,23,52,15151,15128
7,23,31,14367,14344
8,27,56,15298,15271
9,32,38,14437,14405
10,41,30,14438,14397
11,50,36,13371,13321
12,52,43,15158,15106
13,62,29,12917,12855
14,64,60,15191,15127
15,66,133,2292,2226
16,67,46,14150,14083
17,72,33,13821,13749
18,80,42,15186,15106
19,80,36,14173,14093
20,82,33,15176,15094
21,86,11,11982,11896
22,92,33,14163,14071
23,101,32,13829,13728
24,101,324,3127,3026
25,111,19,12635,12524
26,114,33,13902,13788
27,114,101,650,536
28,121,43,14595,14474
29,128,37,13599,13471
30,134,36,14877,14743
31,143,23,13232,13089
32,143,100,849,706
33,145,70,919,774
34,151,37,14887,14736
35,161,58,15339,15178
36,167,17,12774,12607
37,171,41,15129,14958
38,172,120,1056,884
39,177,55,14899,14722
40,179,54,15116,14937
41,185,39,14639,14454
42,193,19,12270,12077
43,194,285,6536,6342
44,199,28,13294,13095
45,200,39,15256,15056
46,205,32,14391,14186
47,208,36,14628,14420
48,213,35,14028,13815
49,216,44,15283,15067
50,218,24,12846,12628
51,225,242,7145,6920
52,227,229,7710,7483
53,228,54,15353,15125
54,231,49,15134,14903
55,241,47,15146,14905
56,242,30,14423,14181
57,242,47,14968,14726
58,246,54,15272,15026
59,246,43,15153,14907
60,251,35,14080,13829
61,252,48,15143,14891
62,261,29,14095,13834
63,266,85,1620,1354
64,268,50,14686,14418
65,273,27,14392,14119
66,274,31,14435,14161
67,277,10,12401,12124
68,279,45,15157,14878
69,279,311,8120,7841
70,280,27,13368,13088
71,283,57,15359,15076
72,289,20,12393,12104
73,293,178,1997,1704
74,294,12,12402,12108
75,297,33,14091,13794
76,297,54,15300,15003
77,301,37,15279,14978
78,308,36,14990,14682
79,318,30,13802,13484
80,322,22,12419,12097
81,325,112,2146,1821
82,331,23,13769,13438
83,332,60,2209,1877
84,335,44,15196,14861
85,340,47,15178,14838
86,350,53,15356,15006
87,357,24,13796,13439
88,361,12,12461,12100
89,369,47,15293,14924
90,373,36,14449,14076
91,376,50,15188,14812
92,376,270,8401,8025
93,379,43,14749,14370
94,379,41,15203,14824
95,387,30,14165,13778
96,396,53,15376,14980
97,405,31,15018,14613
98,414,55,15363,14949
99,423,23,12538,12115
100,424,23,13487,13063
101,427,21,13838,13411
102,429,57,15369,14940
103,435,305,8574,8139
104,439,29,13861,13422
105,439,97,2755,2316
106,446,17,12556,12110
107,455,42,15371,14916
108,463,43,15212,14749
109,465,21,13012,12547
110,472,32,14509,14037
111,477,47,15220,14743
112,481,47,15207,14726
113,487,17,12562,12075
114,487,28,13865,13378
115,491,151,2934,2443
116,496,29,14210,13714
117,499,34,14500,14001
118,500,52,15321,14821
119,508,26,13876,13368
120,518,37,14774,14256
121,524,20,13504,12980
122,534,29,12599,12065
123,540,28,13895,13355
124,550,42,15056,14506
125,551,309,8786,8235
126,552,45,15041,14489
127,556,32,15051,14495
128,561,16,12625,12064
129,570,41,15236,14666
130,570,30,14250,13680
131,572,41,15058,14486
132,572,51,15079,14507
133,579,46,15232,14653
134,580,32,14248,13668
135,583,41,15068,14485
136,586,25,12643,12057
137,586,300,8940,8354
138,590,35,14566,13976
139,591,41,14565,13974
140,595,42,15335,14740
141,605,18,14525,13920
142,612,38,14824,14212
143,612,265,9151,8539
144,617,25,13149,12532
145,624,55,15228,14604
146,624,181,3821,3197
147,629,45,15329,14700
148,635,25,13133,12498
149,641,33,13947,13306
150,649,36,14847,14198
151,654,24,13154,12500
152,661,258,9245,8584
153,662,24,13917,13255
154,663,17,12707,12044
155,668,377,9436,8768
156,669,33,14846,14177
157,679,15,12732,12053
158,687,56,15325,14638
159,693,43,14842,14149
160,694,52,15338,14644
161,696,19,12711,12015
162,703,185,9551,8848
163,706,49,15380,14674
164,712,31,14323,13611
165,720,33,14871,14151
166,730,37,14589,13859
167,736,31,14601,13865
168,744,79,4442,3698
169,745,18,12757,12012
170,745,24,13970,13225
171,748,34,14855,14107
172,753,51,15248,14495
173,762,25,13643,12881
174,769,24,13613,12844
175,772,249,9757,8985
176,774,58,15383,14609
177,784,26,13238,12454
178,790,38,14915,14125
179,792,62,15388,14596
180,793,283,9915,9122
181,849,184,4901,4052
182,879,273,10033,9154
183,887,192,5248,4361
184,906,155,10125,9219
185,966,218,10282,9316
186,1019,152,5560,4541
187,1035,199,10417,9382
188,1058,148,5775,4717
189,1106,150,5939,4833
190,1128,201,10499,9371
191,1183,324,10631,9448
192,1184,96,6363,5179
193,1221,245,10697,9476
194,1245,102,6835,5590
195,1285,133,6969,5684
196,1341,120,7265,5924
197,1354,153,10802,9448
198,1390,256,10976,9586
199,1416,350,11136,9720
200,1437,298,11249,9812
