pid,arrival_time,total_cpu_demand,completion_time,turnaround_time
1,2,213,13664,13662
2,4,46,7504,7500
3,8,204,13480,13472
4,12,23,4107,4095
5,17,23,3772,3755
6,23,52,7984,7961
7,23,31,5365,5342
8,27,56,8587,8560
9,32,38,6460,6428
10,41,30,5959,5918
11,50,36,6618,6568
12,52,43,7505,7453
13,62,29,5312,5250
14,64,60,8581,8517
15,66,133,11488,11422
16,67,46,7287,7220
17,72,33,5892,5820
18,80,42,7526,7446
19,80,36,6659,6579
20,82,33,6729,6647
21,86,11,2355,2269
22,92,33,6185,6093
23,101,32,5642,5541
24,101,324,15292,15191
25,111,19,3764,3653
26,114,33,5926,5812
27,114,101,10213,10099
28,121,43,7313,7192
29,128,37,6409,6281
30,134,36,6715,6581
31,143,23,4145,4002
32,143,100,10130,9987
33,145,70,8722,8577
34,151,37,6458,6307
35,161,58,8600,8439
36,167,17,3416,3249
37,171,41,7574,7403
38,172,120,10959,10787
39,177,55,8302,8125
40,179,54,8176,7997
41,185,39,7134,6949
42,193,19,3442,3249
43,194,285,15034,14840
44,199,28,4794,4595
45,200,39,7349,7149
46,205,32,5723,5518
47,208,36,6721,6513
48,213,35,6233,6020
49,216,44,7762,7546
50,218,24,4795,4577
51,225,242,14405,14180
52,227,229,14173,13946
53,228,54,8358,8130
54,231,49,8061,7830
55,241,47,7732,7491
56,242,30,5750,5508
57,242,47,7727,7485
58,246,54,8192,7946
59,246,43,7189,6943
60,251,35,6482,6231
61,252,48,7890,7638
62,261,29,5743,5482
63,266,85,9506,9240
64,268,50,8045,7777
65,273,27,5454,5181
66,274,31,6291,6017
67,277,10,1016,739
68,279,45,7548,7269
69,279,311,15246,14967
70,280,27,4822,4542
71,283,57,8488,8205
72,289,20,3837,3548
73,293,178,12959,12666
74,294,12,2109,1815
75,297,33,5701,5404
76,297,54,8262,7965
77,301,37,6738,6437
78,308,36,6541,6233
79,318,30,5734,5416
80,322,22,4135,3813
81,325,112,10655,10330
82,331,23,4544,4213
83,332,60,8184,7852
84,335,44,7223,6888
85,340,47,7764,7424
86,350,53,8481,8131
87,357,24,4523,4166
88,361,12,2112,1751
89,369,47,7932,7563
90,373,36,6519,6146
91,376,50,8238,7862
92,376,270,14879,14503
93,379,43,7377,6998
94,379,41,7230,6851
95,387,30,5747,5360
96,396,53,8397,8001
97,405,31,6055,5650
98,414,55,8246,7832
99,423,23,4508,4085
100,424,23,4589,4165
101,427,21,3935,3508
102,429,57,8526,8097
103,435,305,15212,14777
104,439,29,5494,5055
105,439,97,10074,9635
106,446,17,3201,2755
107,455,42,7676,7221
108,463,43,7937,7474
109,465,21,3909,3444
110,472,32,5804,5332
111,477,47,7790,7313
112,481,47,7776,7295
113,487,17,3215,2728
114,487,28,5492,5005
115,491,151,12173,11682
116,496,29,5518,5022
117,499,34,6312,5813
118,500,52,8135,7635
119,508,26,5223,4715
120,518,37,6320,5802
121,524,20,4281,3757
122,534,29,5141,4607
123,540,28,5783,5243
124,550,42,7218,6668
125,551,309,15239,14688
126,552,45,7580,7028
127,556,32,6108,5552
128,561,16,3604,3043
129,570,41,7289,6719
130,570,30,5591,5021
131,572,41,7227,6655
132,572,51,8103,7531
133,579,46,7636,7057
134,580,32,5833,5253
135,583,41,7405,6822
136,586,25,4882,4296
137,586,300,15170,14584
138,590,35,6849,6259
139,591,41,6855,6264
140,595,42,7831,7236
141,605,18,3369,2764
142,612,38,6838,6226
143,612,265,14810,14198
144,617,25,5229,4612
145,624,55,8270,7646
146,624,181,13096,12472
147,629,45,8000,7371
148,635,25,4296,3661
149,641,33,6086,5445
150,649,36,6397,5748
151,654,24,4629,3975
152,661,258,14728,14067
153,662,24,4322,3660
154,663,17,2971,2308
155,668,377,15386,14718
156,669,33,6368,5699
157,679,15,3330,2651
158,687,56,8522,7835
159,693,43,7411,6718
160,694,52,8130,7436
161,696,19,3309,2613
162,703,185,13215,12512
163,706,49,8320,7614
164,712,31,5877,5165
165,720,33,6187,5467
166,730,37,7056,6326
167,736,31,6159,5423
168,744,79,9277,8533
169,745,18,3692,2947
170,745,24,4689,3944
171,748,34,6623,5875
172,753,51,8129,7376
173,762,25,4708,3946
174,769,24,4987,4218
175,772,249,14573,13801
176,774,58,8772,7998
177,784,26,5304,4520
178,790,38,6680,5890
179,792,62,8895,8103
180,793,283,15029,14236
181,849,184,13174,12325
182,879,273,14923,14044
183,887,192,13385,12498
184,906,155,12350,11444
185,966,218,13978,13012
186,1019,152,12241,11222
187,1035,199,13604,12569
188,1058,148,12112,11054
189,1106,150,12193,11087
190,1128,201,13663,12535
191,1183,324,15306,14123
192,1184,96,10122,8938
193,1221,245,14546,13325
194,1245,102,10393,9148
195,1285,133,11657,10372
196,1341,120,11133,9792
197,1354,153,12367,11013
198,1390,256,14715,13325
199,1416,350,15360,13944
200,1437,298,15203,13766
