pid,arrival_time,total_cpu_demand,completion_time,turnaround_time
1,2,213,13219,13217
2,4,46,6368,6364
3,8,204,13001,12993
4,12,23,2445,2433
5,17,23,1287,1270
6,23,52,7041,7018
7,23,31,4015,3992
8,27,56,7705,7678
9,32,38,4892,4860
10,41,30,4540,4499
11,50,36,5151,5101
12,52,43,6479,6427
13,62,29,3927,3865
14,64,60,8027,7963
15,66,133,11066,11000
16,67,46,6295,6228
17,72,33,4673,4601
18,80,42,6825,6745
19,80,36,5647,5567
20,82,33,5654,5572
21,86,11,961,875
22,92,33,5431,5339
23,101,32,4694,4593
24,101,324,15260,15159
25,111,19,2593,2482
26,114,33,5263,5149
27,114,101,9873,9759
28,121,43,6620,6499
29,128,37,5748,5620
30,134,36,6327,6193
31,143,23,3731,3588
32,143,100,9881,9738
33,145,70,8445,8300
34,151,37,5899,5748
35,161,58,8249,8088
36,167,17,2658,2491
37,171,41,7102,6931
38,172,120,10773,10601
39,177,55,7966,7789
40,179,54,7854,7675
41,185,39,6755,6570
42,193,19,2858,2665
43,194,285,14980,14786
44,199,28,4642,4443
45,200,39,6967,6767
46,205,32,5875,5670
47,208,36,6326,6118
48,213,35,5854,5641
49,216,44,7414,7198
50,218,24,4354,4136
51,225,242,14333,14108
52,227,229,14105,13878
53,228,54,8139,7911
54,231,49,7780,7549
55,241,47,7502,7261
56,242,30,5732,5490
57,242,47,7667,7425
58,246,54,8123,7877
59,246,43,7163,6917
60,251,35,6201,5950
61,252,48,7850,7598
62,261,29,5520,5259
63,266,85,9414,9148
64,268,50,7882,7614
65,273,27,5528,5255
66,274,31,6074,5800
67,277,10,2274,1997
68,279,45,7379,7100
69,279,311,15237,14958
70,280,27,4943,4663
71,283,57,8352,8069
72,289,20,3627,3338
73,293,178,12913,12620
74,294,12,2584,2290
75,297,33,6356,6059
76,297,54,8246,7949
77,301,37,7016,6715
78,308,36,6644,6336
79,318,30,5885,5567
80,322,22,4029,3707
81,325,112,10605,10280
82,331,23,4745,4414
83,332,60,8145,7813
84,335,44,7353,7018
85,340,47,7669,7329
86,350,53,8383,8033
87,357,24,5099,4742
88,361,12,2472,2111
89,369,47,8018,7649
90,373,36,6916,6543
91,376,50,8159,7783
92,376,270,14861,14485
93,379,43,7355,6976
94,379,41,7386,7007
95,387,30,5799,5412
96,396,53,8353,7957
97,405,31,6105,5700
98,414,55,8337,7923
99,423,23,4617,4194
100,424,23,4675,4251
101,427,21,4692,4265
102,429,57,8490,8061
103,435,305,15213,14778
104,439,29,5564,5125
105,439,97,10077,9638
106,446,17,3338,2892
107,455,42,7671,7216
108,463,43,7964,7501
109,465,21,4389,3924
110,472,32,6425,5953
111,477,47,7826,7349
112,481,47,8115,7634
113,487,17,3748,3261
114,487,28,5655,5168
115,491,151,12191,11700
116,496,29,5662,5166
117,499,34,6633,6134
118,500,52,8176,7676
119,508,26,5394,4886
120,518,37,6704,6186
121,524,20,4500,3976
122,534,29,5392,4858
123,540,28,6007,5467
124,550,42,7374,6824
125,551,309,15244,14693
126,552,45,7707,7155
127,556,32,6309,5753
128,561,16,3898,3337
129,570,41,7434,6864
130,570,30,5825,5255
131,572,41,7385,6813
132,572,51,8179,7607
133,579,46,7734,7155
134,580,32,6336,5756
135,583,41,7572,6989
136,586,25,5236,4650
137,586,300,15180,14594
138,590,35,7028,6438
139,591,41,7218,6627
140,595,42,7917,7322
141,605,18,5014,4409
142,612,38,6999,6387
143,612,265,14826,14214
144,617,25,5553,4936
145,624,55,8321,7697
146,624,181,13152,12528
147,629,45,8113,7484
148,635,25,4967,4332
149,641,33,6354,5713
150,649,36,7068,6419
151,654,24,5346,4692
152,661,258,14740,14079
153,662,24,5604,4942
154,663,17,3758,3095
155,668,377,15386,14718
156,669,33,6617,5948
157,679,15,3780,3101
158,687,56,8592,7905
159,693,43,7622,6929
160,694,52,8366,7672
161,696,19,4117,3421
162,703,185,13274,12571
163,706,49,8417,7711
164,712,31,6194,5482
165,720,33,6934,6214
166,730,37,7306,6576
167,736,31,6688,5952
168,744,79,9405,8661
169,745,18,4217,3472
170,745,24,5462,4717
171,748,34,7143,6395
172,753,51,8282,7529
173,762,25,5189,4427
174,769,24,5466,4697
175,772,249,14603,13831
176,774,58,8857,8083
177,784,26,5756,4972
178,790,38,7007,6217
179,792,62,8975,8183
180,793,283,15042,14249
181,849,184,13253,12404
182,879,273,14955,14076
183,887,192,13454,12567
184,906,155,12441,11535
185,966,218,14032,13066
186,1019,152,12339,11320
187,1035,199,13651,12616
188,1058,148,12211,11153
189,1106,150,12295,11189
190,1128,201,13714,12586
191,1183,324,15306,14123
192,1184,96,10255,9071
193,1221,245,14588,13367
194,1245,102,10525,9280
195,1285,133,11761,10476
196,1341,120,11254,9913
197,1354,153,12469,11115
198,1390,256,14752,13362
199,1416,350,15362,13946
200,1437,298,15218,13781
