pid,arrival_time,total_cpu_demand,completion_time,turnaround_time
1,2,213,13086,13084
2,4,46,6638,6634
3,8,204,12925,12917
4,12,23,2343,2331
5,17,23,1416,1399
6,23,52,7213,7190
7,23,31,4330,4307
8,27,56,7804,7777
9,32,38,4937,4905
10,41,30,4540,4499
11,50,36,5148,5098
12,52,43,6549,6497
13,62,29,4005,3943
14,64,60,8050,7986
15,66,133,11024,10958
16,67,46,6192,6125
17,72,33,4796,4724
18,80,42,6915,6835
19,80,36,5715,5635
20,82,33,5649,5567
21,86,11,959,873
22,92,33,5474,5382
23,101,32,4678,4577
24,101,324,15258,15157
25,111,19,2699,2588
26,114,33,5340,5226
27,114,101,9875,9761
28,121,43,6621,6500
29,128,37,5690,5562
30,134,36,6406,6272
31,143,23,3719,3576
32,143,100,9862,9719
33,145,70,8419,8274
34,151,37,5962,5811
35,161,58,8293,8132
36,167,17,2672,2505
37,171,41,7195,7024
38,172,120,10775,10603
39,177,55,8002,7825
40,179,54,7940,7761
41,185,39,6762,6577
42,193,19,2851,2658
43,194,285,14982,14788
44,199,28,4690,4491
45,200,39,7028,6828
46,205,32,5908,5703
47,208,36,6360,6152
48,213,35,5861,5648
49,216,44,7513,7297
50,218,24,4379,4161
51,225,242,14327,14102
52,227,229,14101,13874
53,228,54,8185,7957
54,231,49,7848,7617
55,241,47,7528,7287
56,242,30,5759,5517
57,242,47,7706,7464
58,246,54,8199,7953
59,246,43,7215,6969
60,251,35,6231,5980
61,252,48,7932,7680
62,261,29,5511,5250
63,266,85,9409,9143
64,268,50,7910,7642
65,273,27,5566,5293
66,274,31,6100,5826
67,277,10,2326,2049
68,279,45,7437,7158
69,279,311,15237,14958
70,280,27,4968,4688
71,283,57,8392,8109
72,289,20,3656,3367
73,293,178,12919,12626
74,294,12,2630,2336
75,297,33,6385,6088
76,297,54,8313,8016
77,301,37,7080,6779
78,308,36,6688,6380
79,318,30,5931,5613
80,322,22,4034,3712
81,325,112,10615,10290
82,331,23,4774,4443
83,332,60,8141,7809
84,335,44,7374,7039
85,340,47,7714,7374
86,350,53,8426,8076
87,357,24,5149,4792
88,361,12,2492,2131
89,369,47,8077,7708
90,373,36,6942,6569
91,376,50,8226,7850
92,376,270,14865,14489
93,379,43,7412,7033
94,379,41,7460,7081
95,387,30,5826,5439
96,396,53,8409,8013
97,405,31,6161,5756
98,414,55,8406,7992
99,423,23,4628,4205
100,424,23,4699,4275
101,427,21,4734,4307
102,429,57,8560,8131
103,435,305,15213,14778
104,439,29,5606,5167
105,439,97,10087,9648
106,446,17,3359,2913
107,455,42,7743,7288
108,463,43,7992,7529
109,465,21,4404,3939
110,472,32,6441,5969
111,477,47,7894,7417
112,481,47,8189,7708
113,487,17,3761,3274
114,487,28,5673,5186
115,491,151,12201,11710
116,496,29,5707,5211
117,499,34,6703,6204
118,500,52,8242,7742
119,508,26,5449,4941
120,518,37,6732,6214
121,524,20,4563,4039
122,534,29,5397,4863
123,540,28,6020,5480
124,550,42,7406,6856
125,551,309,15244,14693
126,552,45,7761,7209
127,556,32,6366,5810
128,561,16,3921,3360
129,570,41,7487,6917
130,570,30,5889,5319
131,572,41,7428,6856
132,572,51,8261,7689
133,579,46,7822,7243
134,580,32,6349,5769
135,583,41,7602,7019
136,586,25,5227,4641
137,586,300,15178,14592
138,590,35,7090,6500
139,591,41,7268,6677
140,595,42,8006,7411
141,605,18,5049,4444
142,612,38,7054,6442
143,612,265,14826,14214
144,617,25,5581,4964
145,624,55,8391,7767
146,624,181,13155,12531
147,629,45,8169,7540
148,635,25,4989,4354
149,641,33,6379,5738
150,649,36,7106,6457
151,654,24,5334,4680
152,661,258,14748,14087
153,662,24,5645,4983
154,663,17,3753,3090
155,668,377,15386,14718
156,669,33,6667,5998
157,679,15,3785,3106
158,687,56,8650,7963
159,693,43,7660,6967
160,694,52,8447,7753
161,696,19,4142,3446
162,703,185,13276,12573
163,706,49,8497,7791
164,712,31,6248,5536
165,720,33,6977,6257
166,730,37,7350,6620
167,736,31,6763,6027
168,744,79,9416,8672
169,745,18,4205,3460
170,745,24,5493,4748
171,748,34,7188,6440
172,753,51,8352,7599
173,762,25,5215,4453
174,769,24,5466,4697
175,772,249,14601,13829
176,774,58,8929,8155
177,784,26,5758,4974
178,790,38,7049,6259
179,792,62,9061,8269
180,793,283,15050,14257
181,849,184,13253,12404
182,879,273,14955,14076
183,887,192,13456,12569
184,906,155,12466,11560
185,966,218,14030,13064
186,1019,152,12347,11328
187,1035,199,13657,12622
188,1058,148,12219,11161
189,1106,150,12299,11193
190,1128,201,13716,12588
191,1183,324,15306,14123
192,1184,96,10269,9085
193,1221,245,14586,13365
194,1245,102,10541,9296
195,1285,133,11771,10486
196,1341,120,11258,9917
197,1354,153,12475,11121
198,1390,256,14754,13364
199,1416,350,15362,13946
200,1437,298,15226,13789
